Date&Time,GHI,DHI,DNI,GTI,Temperature,GTI Loss,Irradiance Shading Loss,IAM Loss,Soiling and Snow Loss,Nominal Energy,Irradiance Level Loss,Shading Electrical Loss,Temperature Loss,Module Quality Loss,Optimizer Max Input Current Loss,Yield Factor Loss,Optimizer Loss,Rear Side Shading Electrical Loss,LID Loss,Ohmic Loss,String Clipping Loss,Array Energy,PV Inverter Efficiency Loss,AC-coupled Inverter Efficiency Loss,Clipping Loss,System Unavailability Loss,Export Limitation Loss,Battery charge,Battery Discharge,Battery State Of Energy,Inverter Output,DC Inverter Output,AC Inverter Output,Consumption,Self-consumption,Imported,Exported,Performance Ratio,ExportedPrice
,W/m^2,W/m^2,W/m^2,W/m^2,C,W/m^2,W/m^2,W/m^2,W/m^2,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,,EUR/kWh
02-Jan 14:00:00,110.35995414867028,72.38837721358865,161.90881081171068,226.86000167951133,10.467516178462642,-116.50004753084104,7.223975888976257,2.5135959761027507,0.0,1778.232700180201,50.08497413478282,100.2161748711228,-41.85393728653791,-4.55765782925706,0.0,0.0,10.798038611262868,0.0,0.0,5.040289304455008,0.0,1658.504818374372,37.44269814161265,0.0,0.0,0.0,0.0,396.96897334236564,0.0,5707.1235700833495,1224.0931468903937,1224.0931468903937,0.0,1224.0931468903912,1224.093146890391,2.2737367544323206E-13,2.7284841053187847E-12,0.6588294447380457,0.08,
02-Jan 15:00:00,68.42249142182318,45.5750714812919,157.60946152622859,173.46875070810606,10.52022665216203,-105.04625928628288,6.845641304034556,3.0575444973303116,0.0,1339.6019765862102,53.4149171279523,67.91265601455812,-39.997125186329974,-3.433904061775307,0.0,0.0,8.330450143818144,0.0,0.0,2.861152842009464,0.0,1250.5138297059773,40.96936455171977,0.0,0.0,0.0,0.0,0.0,344.5166344239266,5362.606935659423,1554.0610995781842,1554.0610995781842,0.0,1595.0304641299035,1554.0610995781838,40.96936455171977,4.547473508864641E-13,1.0938639351906587,0.08,
02-Jan 16:00:00,9.630677837974426,9.630677837974426,0.0,0.0,10.249420107262434,9.630677837974426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.247026578305544,0.0,0.0,0.0,0.0,0.0,2077.24897654127,3285.357959118153,2029.0019499629645,2029.0019499629645,0.0,2077.24897654127,2029.0019499629645,48.247026578305544,0.0,0.0,0.08,
02-Jan 17:00:00,0.0,0.0,0.0,0.0,8.872924209087339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.11119183888643,0.0,0.0,0.0,0.0,0.0,2405.3579591181524,880.0,2352.246767279266,2352.246767279266,0.0,2411.092562056831,2352.246767279266,58.84579477756499,0.0,0.0,0.08,
02-Jan 18:00:00,0.0,0.0,0.0,0.0,7.496428310912242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2819.1236110202944,0.0,2819.1236110202944,0.0,0.0,0.08,
02-Jan 19:00:00,0.0,0.0,0.0,0.0,6.119932412737146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2670.74868412449,0.0,2670.74868412449,0.0,0.0,0.08,
02-Jan 20:00:00,0.0,0.0,0.0,0.0,4.74343651456205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2225.623903437075,0.0,2225.623903437075,0.0,0.0,0.08,
02-Jan 21:00:00,0.0,0.0,0.0,0.0,3.3669406163869535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1706.3116593017573,0.0,1706.3116593017573,0.0,0.0,0.08,
02-Jan 22:00:00,0.0,0.0,0.0,0.0,1.990444718211858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1483.74926895805,0.0,1483.74926895805,0.0,0.0,0.08,
02-Jan 23:00:00,0.0,0.0,0.0,0.0,0.6139488200367609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
03-Jan 00:00:00,0.0,0.0,0.0,0.0,-4.561600152109837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
03-Jan 01:00:00,0.0,0.0,0.0,0.0,-5.254508002728489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
03-Jan 02:00:00,0.0,0.0,0.0,0.0,-5.947415853347142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
03-Jan 03:00:00,0.0,0.0,0.0,0.0,-6.640323703965795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
03-Jan 04:00:00,0.0,0.0,0.0,0.0,-7.333231554584448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,964.4370248227324,0.0,964.4370248227324,0.0,0.0,0.08,
03-Jan 05:00:00,0.0,0.0,0.0,0.0,-8.026139405203098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1224.0931468903912,0.0,1224.0931468903912,0.0,0.0,0.08,
03-Jan 06:00:00,0.0,0.0,0.0,0.0,-8.719047255821753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1595.0304641299035,0.0,1595.0304641299035,0.0,0.0,0.08,
03-Jan 07:00:00,0.0,0.0,0.0,0.0,-9.411955106440406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2003.0615130933675,0.0,2003.0615130933675,0.0,0.0,0.08,
